Round Number, Network Remaining Energy
1153,0.558853
1154,0.550199
1155,0.542416
1156,0.538816
1157,0.530406
1158,0.521798
1159,0.514081
1160,0.507616
1161,0.504416
1162,0.497247
1163,0.490920
1164,0.487720
1165,0.480871
1166,0.474027
1167,0.467482
1168,0.460465
1169,0.454150
1170,0.447626
1171,0.443681
1172,0.437679
1173,0.430786
1174,0.427986
1175,0.421559
1176,0.414799
1177,0.408906
1178,0.406118
1179,0.399877
1180,0.397277
