Round Number, Total Energy Consumption
1057,48.566319
1058,48.579105
1059,48.592260
1060,48.604811
1061,48.618564
1062,48.624364
1063,48.636910
1064,48.649738
1065,48.662339
1066,48.678295
1067,48.690738
1068,48.694507
1069,48.706807
1070,48.721250
1071,48.733450
1072,48.745716
1073,48.757163
1074,48.769116
1075,48.784194
1076,48.799558
1077,48.810739
1078,48.813484
1079,48.827179
1080,48.832179
1081,48.845021
1082,48.848380
1083,48.859668
1084,48.872844
1085,48.884561
1086,48.895673
1087,48.906218
1088,48.917638
1089,48.928560
1090,48.939585
1091,48.944385
1092,48.955150
1093,48.959950
1094,48.970944
1095,48.972172
1096,48.982799
1097,48.995389
1098,49.006177
1099,49.016079
1100,49.017306
1101,49.028814
1102,49.038640
1103,49.049782
1104,49.060425
1105,49.070122
1106,49.081090
1107,49.092863
1108,49.103469
1109,49.112806
1110,49.117206
1111,49.127168
1112,49.136714
1113,49.146057
1114,49.157487
1115,49.161859
1116,49.171422
1117,49.182005
1118,49.191287
1119,49.200770
1120,49.210304
1121,49.217338
1122,49.228190
1123,49.238254
1124,49.242454
1125,49.250712
1126,49.257909
1127,49.266589
1128,49.270589
1129,49.279191
1130,49.287898
1131,49.296474
1132,49.305057
1133,49.314141
1134,49.318141
1135,49.326985
1136,49.327754
1137,49.336278
1138,49.345578
1139,49.354875
1140,49.358675
1141,49.367196
1142,49.372429
1143,49.380795
1144,49.388471
1145,49.397000
1146,49.399125
1147,49.407251
1148,49.415198
1149,49.418798
1150,49.422398
1151,49.430253
1152,49.438053
1153,49.441147
1154,49.449801
1155,49.457584
1156,49.461184
1157,49.469594
1158,49.478202
1159,49.485919
1160,49.492384
1161,49.495584
1162,49.502753
1163,49.509080
1164,49.512280
1165,49.519129
1166,49.525973
1167,49.532518
1168,49.539535
1169,49.545850
1170,49.552374
1171,49.556319
1172,49.562321
1173,49.569214
1174,49.572014
1175,49.578441
1176,49.585201
1177,49.591094
1178,49.593882
1179,49.600123
1180,49.602723
