Round Number, Total Energy Consumption
1126,49.287183
1127,49.296549
1128,49.304237
1129,49.312209
1130,49.320901
1131,49.328173
1132,49.335279
1133,49.342922
1134,49.347248
1135,49.348476
1136,49.351676
1137,49.359552
1138,49.362752
1139,49.370129
1140,49.378438
1141,49.379666
1142,49.386563
1143,49.389563
1144,49.396371
1145,49.399371
1146,49.405675
1147,49.408675
1148,49.415988
1149,49.422660
1150,49.429603
1151,49.435607
1152,49.438407
1153,49.444705
1154,49.450831
1155,49.457847
1156,49.461499
1157,49.464065
1158,49.466665
1159,49.472622
1160,49.473405
1161,49.479042
1162,49.484730
1163,49.490488
1164,49.498258
1165,49.500658
1166,49.503058
1167,49.508863
1168,49.513903
1169,49.516303
1170,49.517128
1171,49.521930
1172,49.526983
1173,49.532325
1174,49.536941
1175,49.541719
1176,49.543719
1177,49.548652
1178,49.553523
1179,49.558384
1180,49.560384
1181,49.564743
1182,49.569534
1183,49.573899
1184,49.578677
1185,49.579502
1186,49.581502
1187,49.583502
1188,49.588364
1189,49.593374
1190,49.595374
1191,49.599496
1192,49.603681
1193,49.607603
1194,49.611638
1195,49.616150
1196,49.620087
1197,49.621887
1198,49.622712
1199,49.624512
1200,49.628521
1201,49.632707
1202,49.634507
1203,49.638429
1204,49.640334
1205,49.642134
1206,49.643934
1207,49.648384
1208,49.650184
1209,49.651984
1210,49.655656
1211,49.656481
1212,49.660529
1213,49.662129
1214,49.663729
1215,49.665329
1216,49.668666
1217,49.672693
1218,49.674293
1219,49.675893
1220,49.676650
1221,49.678250
1222,49.682365
1223,49.683965
1224,49.685565
1225,49.689592
1226,49.693240
1227,49.696726
1228,49.700258
1229,49.702183
