Round Number, Network Remaining Energy
1177,0.451348
1178,0.446477
1179,0.441616
1180,0.439616
1181,0.435257
1182,0.430466
1183,0.426101
1184,0.421323
1185,0.420498
1186,0.418498
1187,0.416498
1188,0.411636
1189,0.406626
1190,0.404626
1191,0.400504
1192,0.396319
1193,0.392397
1194,0.388362
1195,0.383850
1196,0.379913
1197,0.378113
1198,0.377288
1199,0.375488
1200,0.371479
1201,0.367293
1202,0.365493
1203,0.361571
1204,0.359666
1205,0.357866
1206,0.356066
1207,0.351616
1208,0.349816
1209,0.348016
1210,0.344344
1211,0.343519
1212,0.339471
1213,0.337871
1214,0.336271
1215,0.334671
1216,0.331334
1217,0.327307
1218,0.325707
1219,0.324107
1220,0.323350
1221,0.321750
1222,0.317635
1223,0.316035
1224,0.314435
1225,0.310408
1226,0.306760
1227,0.303274
1228,0.299742
1229,0.297817
